Temperature_mK,A_bg,B_bg,A_peak,f_0_GHz,gamma_GHz,lorentz_integral,bg_integral
196.36,1.503508874e-11,-6.490027262e-11,1.55227024e-12,4.429724824,0.0005725173156,2.690182656e-15,3.410341e-14
222.02,1.500623194e-11,-6.475744411e-11,1.571672213e-12,4.429730399,0.0005705709113,2.714904521e-15,3.440326785e-14
245.16,1.480214148e-11,-6.389670305e-11,1.557854177e-12,4.429732685,0.0005685628639,2.681923191e-15,3.353567364e-14
266.68,1.521752301e-11,-6.573165588e-11,1.609216912e-12,4.429749138,0.0005655316799,2.756153026e-15,3.363942075e-14
287.22,1.483411637e-11,-6.396488475e-11,1.56340977e-12,4.42975447,0.0005654207302,2.677199086e-15,3.500501559e-14
309.75,1.525316842e-11,-6.581498971e-11,1.600253099e-12,4.42975444,0.0005661414203,2.74365217e-15,3.513092748e-14
330.62,1.515302333e-11,-6.537163277e-11,1.604499825e-12,4.429766266,0.000563320731,2.737751604e-15,3.512521131e-14
350.3,1.519132662e-11,-6.558438388e-11,1.602862481e-12,4.42976905,0.0005630841551,2.733855019e-15,3.426386127e-14
371.89,1.531711217e-11,-6.607254635e-11,1.621673865e-12,4.429775296,0.0005600520681,2.75160357e-15,3.564521169e-14
387.29,1.565200071e-11,-6.754771733e-11,1.653637871e-12,4.429773359,0.0005586199642,2.798927131e-15,3.581291663e-14
418.05,1.535480292e-11,-6.626701761e-11,1.630668724e-12,4.429775774,0.000559458277,2.764041129e-15,3.509518638e-14
436.59,1.543201614e-11,-6.654834e-11,1.633785443e-12,4.4297736,0.0005611249305,2.777265961e-15,3.630983033e-14
456.3,1.539468475e-11,-6.642453115e-11,1.618041907e-12,4.429778051,0.0005554770126,2.723839544e-15,3.547844573e-14
477.04,1.607853612e-11,-6.940434115e-11,1.676986902e-12,4.429779916,0.0005560680471,2.825963753e-15,3.647147682e-14
495.86,1.580702244e-11,-6.823109598e-11,1.662315413e-12,4.429780607,0.0005579586946,2.810413972e-15,3.588026869e-14
514.53,1.582442588e-11,-6.824465876e-11,1.658196824e-12,4.429791548,0.0005529374313,2.779152663e-15,3.715095738e-14
538.1,1.613785261e-11,-6.963994871e-11,1.699050756e-12,4.429795472,0.0005519927986,2.842939617e-15,3.701476731e-14
550.69,1.594389027e-11,-6.875709807e-11,1.659440007e-12,4.429792857,0.0005544359996,2.788498726e-15,3.748671679e-14
568.52,1.594102935e-11,-6.873346459e-11,1.661148048e-12,4.429800297,0.0005533247214,2.785983467e-15,3.770590892e-14
593.03,1.595013762e-11,-6.881709872e-11,1.658598174e-12,4.429799983,0.0005530011606,2.780139586e-15,3.68402189e-14
852.06,1.722677352e-11,-7.431240086e-11,1.717613769e-12,4.429800079,0.0005516908718,2.872488481e-15,4.004411635e-14
