timestamp,temperature
2026-04-02 16:00:20.388115,3109.811
2026-04-02 16:00:46.352547,3110.3019999999997
2026-04-02 16:01:12.288255,3110.3019999999997
2026-04-02 16:01:38.180960,3109.7329999999997
2026-04-02 16:02:04.184720,3110.613
2026-04-02 16:02:30.156611,3109.087
2026-04-02 16:02:56.177367,3110.716
2026-04-02 16:03:22.200300,3110.3540000000003
2026-04-02 16:03:48.118073,3110.328
2026-04-02 16:04:14.225441,3110.716
2026-04-02 16:04:40.306506,3110.3019999999997
2026-04-02 16:05:06.426325,3111.388
2026-04-02 16:05:32.426815,3111.311
2026-04-02 16:05:58.488079,3111.5179999999996
2026-04-02 16:06:24.409300,3110.6639999999998
2026-04-02 16:06:50.440514,3111.724
2026-04-02 16:07:16.410376,3111.466
2026-04-02 16:07:42.453618,3110.613
2026-04-02 16:08:08.460253,3110.69
2026-04-02 16:08:34.621542,3111.362
2026-04-02 16:09:00.541343,3111.311
2026-04-02 16:09:26.543155,3109.5009999999997
2026-04-02 16:09:52.489564,3109.785
2026-04-02 16:10:18.532444,3111.699
2026-04-02 16:10:44.516140,3109.5009999999997
2026-04-02 16:11:10.658566,3109.578
2026-04-02 16:11:36.708676,3109.811
2026-04-02 16:12:02.681886,3110.9230000000002
2026-04-02 16:12:28.730235,3110.535
2026-04-02 16:12:54.690455,3110.509
2026-04-02 16:13:20.633468,3110.768
2026-04-02 16:13:46.580689,3110.716
2026-04-02 16:14:12.525043,3111.078
2026-04-02 16:14:38.607498,3110.897
2026-04-02 16:15:04.748976,3109.1389999999997
2026-04-02 16:15:30.812958,3108.932
2026-04-02 16:15:56.817758,3111.8540000000003
2026-04-02 16:16:22.831145,3110.457
2026-04-02 16:16:48.926891,3108.88
2026-04-02 16:17:14.850420,3109.604
2026-04-02 16:17:40.820462,3109.837
2026-04-02 16:18:06.841324,3108.932
2026-04-02 16:18:32.872277,3109.5519999999997
2026-04-02 16:18:58.909864,3109.7070000000003
2026-04-02 16:19:25.016710,3109.785
2026-04-02 16:19:50.998157,3109.811
2026-04-02 16:20:16.987704,3111.621
2026-04-02 16:20:43.041755,3110.095
2026-04-02 16:21:09.103899,3109.526
2026-04-02 16:21:35.136500,3109.4750000000004
2026-04-02 16:22:01.287203,3110.018
2026-04-02 16:22:27.290121,3110.121
2026-04-02 16:22:53.288970,3110.3019999999997
